,Time,Activity
0,0,16
1,1,7
2,2,4
3,3,3
4,4,1
5,5,1
6,6,1
7,7,2
8,8,2
9,9,4
10,10,9
11,11,11
12,12,13
13,13,17
14,14,16
15,15,18
16,16,20
17,17,21
18,18,24
19,19,26
20,20,29
21,21,31
22,22,36
23,23,37
24,24,39
25,25,39
26,26,39
27,27,40
28,28,40
29,29,40
30,30,37
31,31,27
32,32,4
33,33,5
34,34,7
35,35,10
36,36,13
37,37,16
38,38,20
39,39,23
40,40,28
41,41,33
42,42,37
43,43,39
44,44,40
45,45,40
46,46,39
47,47,39
48,48,25
49,49,0
50,50,0
51,51,0
52,52,1
53,53,1
54,54,2
55,55,8
56,56,15
57,57,24
58,58,32
59,59,38
60,60,39
61,61,39
62,62,40
63,63,40
64,64,40
65,65,40
66,66,40
67,67,40
68,68,40
69,69,40
70,70,40
71,71,40
72,72,40
73,73,40
74,74,40
75,75,29
76,76,1
77,77,7
78,78,11
79,79,14
80,80,16
81,81,20
82,82,29
83,83,34
84,84,37
85,85,40
86,86,40
87,87,40
88,88,40
89,89,40
90,90,40
91,91,40
92,92,40
93,93,38
94,94,39
95,95,19
96,96,0
97,97,1
98,98,2
99,99,6
100,100,12
101,101,27
102,102,37
103,103,40
104,104,40
105,105,40
106,106,40
107,107,40
108,108,40
109,109,40
110,110,40
111,111,40
112,112,40
113,113,40
114,114,40
115,115,40
116,116,40
117,117,36
118,118,36
119,119,25
120,120,0
121,121,0
122,122,1
123,123,2
124,124,4
125,125,8
126,126,21
127,127,32
128,128,37
129,129,40
130,130,40
131,131,40
132,132,40
133,133,40
134,134,40
135,135,40
136,136,40
137,137,40
138,138,40
139,139,40
140,140,40
141,141,40
142,142,35
143,143,2
144,144,4
145,145,7
146,146,14
147,147,24
148,148,34
149,149,39
150,150,39
151,151,39
152,152,40
153,153,40
154,154,40
155,155,40
156,156,40
157,157,40
158,158,40
159,159,40
160,160,40
161,161,40
162,162,40
163,163,40
164,164,39
165,165,32
166,166,17
167,167,0
168,168,0
169,169,0
170,170,0
171,171,0
172,172,0
173,173,1
174,174,1
175,175,5
176,176,10
177,177,15
178,178,25
179,179,29
180,180,36
181,181,40
182,182,40
183,183,40
184,184,40
185,185,40
186,186,40
187,187,40
188,188,40
189,189,40
190,190,40
191,191,40
192,192,40
193,193,40
194,194,20
195,195,0
196,196,0
197,197,0
198,198,0
199,199,1
200,200,2
201,201,3
202,202,10
203,203,20
204,204,26
205,205,32
206,206,37
207,207,39
208,208,40
209,209,40
210,210,40
211,211,40
212,212,40
213,213,40
214,214,40
215,215,40
216,216,40
217,217,40
218,218,40
219,219,40
220,220,39
221,221,36
222,222,26
223,223,2
224,224,0
225,225,0
226,226,1
227,227,1
228,228,4
229,229,7
230,230,13
231,231,18
232,232,26
233,233,31
234,234,34
235,235,37
236,236,40
237,237,40
238,238,40
239,239,40
240,240,40
241,241,40
242,242,40
243,243,39
244,244,35
245,245,12
246,246,4
247,247,8
248,248,17
249,249,29
250,250,36
251,251,38
252,252,39
253,253,40
254,254,40
255,255,40
256,256,40
257,257,40
258,258,40
259,259,40
260,260,40
261,261,40
262,262,40
263,263,40
264,264,40
265,265,35
266,266,27
267,267,2
268,268,3
269,269,5
270,270,6
271,271,6
272,272,9
273,273,13
274,274,20
275,275,29
276,276,36
277,277,38
278,278,39
279,279,37
280,280,36
281,281,37
282,282,40
283,283,40
284,284,40
285,285,40
286,286,40
287,287,40
288,288,40
289,289,40
290,290,40
291,291,39
292,292,26
293,293,2
294,294,0
295,295,0
296,296,1
297,297,1
298,298,4
299,299,10
300,300,16
301,301,27
302,302,37
303,303,39
304,304,39
305,305,39
306,306,39
307,307,40
308,308,40
309,309,40
310,310,40
311,311,40
312,312,40
313,313,40
314,314,40
315,315,39
316,316,39
317,317,34
318,318,1
319,319,2
320,320,2
321,321,7
322,322,12
323,323,16
324,324,24
325,325,33
326,326,37
327,327,39
328,328,40
329,329,40
330,330,40
331,331,40
332,332,40
333,333,40
334,334,40
335,335,40
336,336,40
337,337,40
338,338,40
339,339,40
340,340,38
341,341,29
342,342,1
343,343,1
344,344,4
345,345,6
346,346,12
347,347,23
348,348,29
349,349,32
350,350,39
351,351,40
352,352,40
353,353,40
354,354,40
355,355,40
356,356,40
357,357,40
358,358,40
359,359,40
360,360,40
361,361,40
362,362,40
363,363,40
364,364,39
365,365,39
366,366,39
367,367,29
368,368,0
369,369,2
370,370,2
371,371,7
372,372,11
373,373,17
374,374,25
375,375,31
376,376,37
377,377,38
378,378,40
379,379,40
380,380,40
381,381,40
382,382,40
383,383,40
384,384,40
385,385,40
386,386,40
387,387,30
388,388,4
389,389,1
390,390,1
391,391,5
392,392,8
393,393,13
394,394,18
395,395,24
396,396,30
397,397,38
398,398,40
399,399,40
400,400,40
401,401,40
402,402,40
403,403,40
404,404,40
405,405,40
406,406,40
407,407,40
408,408,40
409,409,20
410,410,1
411,411,1
412,412,4
413,413,9
414,414,14
415,415,20
416,416,27
417,417,33
418,418,38
419,419,39
420,420,39
421,421,40
422,422,40
423,423,40
424,424,40
425,425,40
426,426,40
427,427,40
428,428,40
429,429,40
430,430,40
431,431,40
432,432,40
433,433,39
434,434,26
435,435,5
436,436,6
437,437,8
438,438,13
439,439,14
440,440,16
441,441,22
442,442,31
443,443,36
444,444,40
445,445,40
446,446,40
447,447,40
448,448,40
449,449,38
450,450,34
451,451,20
452,452,0
453,453,0
454,454,1
455,455,1
456,456,2
457,457,4
458,458,7
459,459,14
460,460,19
461,461,24
462,462,32
463,463,36
464,464,38
465,465,40
466,466,40
467,467,40
468,468,40
469,469,40
470,470,40
471,471,40
472,472,33
473,473,6
474,474,3
475,475,6
476,476,8
477,477,12
478,478,16
479,479,22
480,480,25
481,481,32
482,482,34
483,483,37
484,484,38
485,485,39
486,486,39
487,487,40
488,488,40
489,489,40
490,490,40
491,491,40
492,492,40
493,493,40
494,494,40
495,495,39
496,496,38
497,497,36
498,498,13
499,499,0
500,500,0
501,501,0
502,502,1
503,503,1
504,504,2
505,505,4
